"관리기관명","소재지도로명주소","소재지지번주소","설치목적구분","카메라대수","카메라화소수","촬영방면정보","보관일수","설치년월","관리기관전화번호","위도","경도","데이터기준일자","제공기관코드","제공기관명"
"부산광역시 연제구청","부산광역시 연제구 쌍미천로7번길 17","부산광역시 연제구 연산동 2134-3","다목적","1","200","360도전방면","30","2013-12","051-665-5551","35.174737","129.091159","2020-07-08","3370000","-"
"부산광역시 연제구청","부산광역시 연제구 물만로23번길 48","부산광역시 연제구 연산동 산176-36","다목적","1","200","360도전방면","30","2013-12","051-665-5551","35.169872","129.088414","2020-07-08","3370000","-"
"부산광역시 연제구청","-","부산광역시 연제구 연산동 산90-19","다목적","1","200","90도 정면","30","2018-07","051-665-5551","35.186992","129.091602","2020-07-08","3370000","-"
"부산광역시 연제구청","-","부산광역시 연제구 연산동 산90-19","다목적","1","200","90도 정면","30","2018-07","051-665-5551","35.186992","129.091602","2020-07-08","3370000","-"
"부산광역시 연제구청","부산광역시 연제구 중앙대로1226번길","부산광역시 연제구 거제동 163-1","다목적","1","200","360도전방면","30","2016-06","051-665-5551","35.198889","129.079531","2020-07-08","3370000","-"
"부산광역시 연제구청","부산광역시 연제구 거제대로178번길 13","부산광역시 연제구 거제동 840-4","다목적","1","200","360도전방면","30","2016-06","051-665-5551","35.184018","129.071588","2020-07-08","3370000","-"
"부산광역시 연제구청","부산광역시 연제구 거제시장로 11","부산광역시 연제구 거제동 486-10","다목적","1","200","360도전방면","30","2016-06","051-665-5551","35.180959","129.072029","2020-07-08","3370000","-"
"부산광역시 연제구청","부산광역시 연제구 해맞이로 69","부산광역시 연제구 거제동 676-219","다목적","1","200","360도전방면","30","2016-06","051-665-5551","35.180274","129.068282","2020-07-08","3370000","-"
"부산광역시 연제구청","부산광역시 연제구 월드컵대로3번길 23","부산광역시 연제구 연산동 784-25","다목적","1","200","360도전방면","30","2016-06","051-665-5551","35.175692","129.085163","2020-07-08","3370000","-"
"부산광역시 연제구청","부산광역시 연제구 연수로87번길 52","부산광역시 연제구 연산동 793-17","다목적","1","200","360도전방면","30","2016-06","051-665-5551","35.177971","129.080841","2020-07-08","3370000","-"
"부산광역시 연제구청","부산광역시 연제구 중앙대로990번길 24","부산광역시 연제구 연산동 867-23","다목적","1","200","360도전방면","30","2016-06","051-665-5551","35.176864","129.076209","2020-07-08","3370000","-"
"부산광역시 연제구청","부산광역시 연제구 금련로18번길 11","부산광역시 연제구 연산동 1811-339","다목적","1","200","360도전방면","30","2016-06","051-665-5551","35.172358","129.095284","2020-07-08","3370000","-"
"부산광역시 연제구청","부산광역시 연제구 금련로38번길 81","부산광역시 연제구 연산동 1827-46","다목적","1","200","360도전방면","30","2016-06","051-665-5551","35.190823","129.093573","2020-07-08","3370000","-"
"부산광역시 연제구청","부산광역시 연제구 연수로218번길 23","부산광역시 연제구 연산동 1811-721","다목적","1","200","360도전방면","30","2016-06","051-665-5551","35.172586","129.094386","2020-07-08","3370000","-"
"부산광역시 연제구청","부산광역시 연제구 월드컵대로114번길 26","부산광역시 연제구 연산동 765-3","다목적","1","200","360도전방면","30","2016-06","051-665-5551","35.185321","129.083611","2020-07-08","3370000","-"
"부산광역시 연제구청","부산광역시 연제구 대리로22번길 32","부산광역시 연제구 연산동 656-9","다목적","1","200","360도전방면","30","2016-06","051-665-5551","35.179908","129.086465","2020-07-08","3370000","-"
"부산광역시 연제구청","부산광역시 연제구 묘봉산로5번길 2","부산광역시 연제구 연산동 1118-30","다목적","1","200","360도전방면","30","2016-06","051-665-5551","35.183181","129.087739","2020-07-08","3370000","-"
"부산광역시 연제구청","부산광역시 연제구 반송로 11","부산광역시 연제구 연산동 726-1","다목적","1","200","360도전방면","30","2016-06","051-665-5551","35.186894","129.082471","2020-07-08","3370000","-"
"부산광역시 연제구청","부산광역시 연제구 중앙대로1124번길 15","부산광역시 연제구 연산동 1279-17","다목적","1","200","360도전방면","30","2016-06","051-665-5551","35.188208","129.082156","2020-07-08","3370000","-"
"부산광역시 연제구청","부산광역시 연제구 월드컵대로58번길 8","부산광역시 연제구 연산동 1705-3","다목적","1","200","360도전방면","30","2016-06","051-665-5551","35.179896","129.085182","2020-07-08","3370000","-"
"부산광역시 연제구청","부산광역시 연제구 고분로32번길 52","부산광역시 연제구 연산동 646-1","다목적","1","200","360도전방면","30","2016-06","051-665-5551","35.183254","129.085681","2020-07-08","3370000","-"
"부산광역시 연제구청","부산광역시 연제구 중앙대로1120번길 13","부산광역시 연제구 연산동 675-7","다목적","1","200","360도전방면","30","2016-06","051-665-5551","35.187952","129.082071","2020-07-08","3370000","-"
"부산광역시 연제구청","부산광역시 연제구 월드컵대로91번길 28","부산광역시 연제구 연산동 715-11","다목적","1","200","360도전방면","30","2016-06","051-665-5551","35.181948","129.081882","2020-07-08","3370000","-"
"부산광역시 연제구청","부산광역시 연제구 배산로 12","부산광역시 연제구 연산동 2133-44","다목적","1","200","360도전방면","30","2016-06","051-665-5551","35.174321","129.093499","2020-07-08","3370000","-"
"부산광역시 연제구청","부산광역시 연제구 월드컵대로79번길 17","부산광역시 연제구 연산동 717-23","다목적","1","200","360도전방면","30","2016-06","051-665-5551","35.181228","129.082564","2020-07-08","3370000","-"
"부산광역시 연제구청","부산광역시 연제구 월드컵대로165번길 63","부산광역시 연제구 연산동 1405-9","다목적","1","200","360도전방면","30","2016-06","051-665-5551","35.184608","129.076581","2020-07-08","3370000","-"
